index,Date,Amount,Department
37,2015-02,9105.09,Auditors of Public Accounts
38,2015-03,14466.57,Auditors of Public Accounts
39,2015-04,8874.89,Auditors of Public Accounts
40,2015-05,15267.97,Auditors of Public Accounts
41,2015-06,16014.7,Auditors of Public Accounts
42,2015-07,24532.3,Auditors of Public Accounts
43,2015-08,13126.2,Auditors of Public Accounts
44,2015-09,11509.33,Auditors of Public Accounts
45,2015-10,8600.81,Auditors of Public Accounts
46,2015-11,20404.5,Auditors of Public Accounts
47,2015-12,25369.55,Auditors of Public Accounts
48,2016-01,34854.32,Auditors of Public Accounts
49,2016-02,9119.42,Auditors of Public Accounts
50,2016-03,22063.57,Auditors of Public Accounts
51,2016-04,5039.73,Auditors of Public Accounts
52,2016-05,26175.32,Auditors of Public Accounts
53,2016-06,12973.31,Auditors of Public Accounts
54,2016-07,24360.74,Auditors of Public Accounts
55,2016-08,9642.26,Auditors of Public Accounts
56,2016-09,5573.45,Auditors of Public Accounts
57,2016-10,11121.05,Auditors of Public Accounts
58,2016-11,69203.06999999999,Auditors of Public Accounts
59,2016-12,31852.98,Auditors of Public Accounts
60,2017-01,2839.0499999999997,Auditors of Public Accounts
61,2017-02,17351.1,Auditors of Public Accounts
62,2017-03,6874.0199999999995,Auditors of Public Accounts
63,2017-04,11261.59,Auditors of Public Accounts
64,2017-05,11463.6,Auditors of Public Accounts
65,2017-06,7065.24,Auditors of Public Accounts
66,2017-07,29139.57,Auditors of Public Accounts
67,2017-08,11567.5,Auditors of Public Accounts
68,2017-09,8061.25,Auditors of Public Accounts
69,2017-10,12273.95,Auditors of Public Accounts
70,2017-11,18112.29,Auditors of Public Accounts
71,2017-12,153484.1,Auditors of Public Accounts
72,2018-01,3327.41,Auditors of Public Accounts
73,2018-02,8349.38,Auditors of Public Accounts
74,2018-03,4510.04,Auditors of Public Accounts
75,2018-04,11797.13,Auditors of Public Accounts
76,2018-05,3607.63,Auditors of Public Accounts
77,2018-06,1303.18,Auditors of Public Accounts
78,2018-07,28500.91,Auditors of Public Accounts
79,2018-08,1217.66,Auditors of Public Accounts
80,2018-09,1346.45,Auditors of Public Accounts
81,2018-10,4715.6,Auditors of Public Accounts
82,2018-11,14975.96,Auditors of Public Accounts
83,2018-12,31969.97,Auditors of Public Accounts
84,2019-01,2053.68,Auditors of Public Accounts
85,2019-02,2584.99,Auditors of Public Accounts
86,2019-03,9062.88,Auditors of Public Accounts
87,2019-04,4121.6900000000005,Auditors of Public Accounts
88,2019-05,5536.33,Auditors of Public Accounts
89,2019-06,2200.25,Auditors of Public Accounts
90,2019-07,29527.36,Auditors of Public Accounts
91,2019-08,2706.4500000000003,Auditors of Public Accounts
92,2019-09,4830.11,Auditors of Public Accounts
93,2019-10,12094.9,Auditors of Public Accounts
94,2019-11,7648.45,Auditors of Public Accounts
95,2019-12,69833.09,Auditors of Public Accounts
96,2020-01,2258.43,Auditors of Public Accounts
97,2020-02,1713.3899999999999,Auditors of Public Accounts
98,2020-03,18113.7,Auditors of Public Accounts
99,2020-04,6068.18,Auditors of Public Accounts
100,2020-05,9970.6,Auditors of Public Accounts
101,2020-06,1854.0,Auditors of Public Accounts
102,2020-07,2364.94,Auditors of Public Accounts
103,2020-08,45726.59,Auditors of Public Accounts
104,2020-09,8168.29,Auditors of Public Accounts
105,2020-10,47316.46,Auditors of Public Accounts
106,2020-11,8680.17,Auditors of Public Accounts
107,2020-12,77822.74,Auditors of Public Accounts
108,2021-01,5543.1,Auditors of Public Accounts
109,2021-02,1141.67,Auditors of Public Accounts
110,2021-03,6752.62,Auditors of Public Accounts
111,2021-04,492.54,Auditors of Public Accounts
112,2021-05,2270.05,Auditors of Public Accounts
113,2021-06,39207.54,Auditors of Public Accounts
114,2021-07,1437.58,Auditors of Public Accounts
115,2021-08,2544.61,Auditors of Public Accounts
116,2021-09,2570.4,Auditors of Public Accounts
117,2021-10,12174.38,Auditors of Public Accounts
118,2021-11,8170.34,Auditors of Public Accounts
119,2021-12,29425.88,Auditors of Public Accounts
120,2022-01,977.03,Auditors of Public Accounts
121,2022-02,1644.93,Auditors of Public Accounts
122,2022-03,7792.45,Auditors of Public Accounts
123,2022-04,8179.37,Auditors of Public Accounts
124,2022-05,1486.82,Auditors of Public Accounts
125,2022-06,23370.22,Auditors of Public Accounts
126,2022-07,2473.14,Auditors of Public Accounts
127,2022-08,41515.33,Auditors of Public Accounts
128,2022-09,11855.119999999999,Auditors of Public Accounts
129,2022-10,74824.06,Auditors of Public Accounts
130,2022-11,141498.55,Auditors of Public Accounts
131,2022-12,81658.03,Auditors of Public Accounts
132,2023-01,4683.03,Auditors of Public Accounts
133,2023-02,13753.02,Auditors of Public Accounts
134,2023-03,19200.31,Auditors of Public Accounts
135,2023-04,11760.189999999999,Auditors of Public Accounts
136,2023-05,1808.95,Auditors of Public Accounts
137,2023-06,10312.79,Auditors of Public Accounts
138,2023-07,51736.4,Auditors of Public Accounts
139,2023-08,10368.99,Auditors of Public Accounts
140,2023-09,2260.3,Auditors of Public Accounts
141,2023-10,8835.32,Auditors of Public Accounts
142,2023-11,26843.09,Auditors of Public Accounts
143,2023-12,89103.03,Auditors of Public Accounts
144,2024-01,11055.95,Auditors of Public Accounts
145,2024-02,24936.56,Auditors of Public Accounts
146,2024-03,4932.13,Auditors of Public Accounts
147,2024-04,16280.89,Auditors of Public Accounts
148,2024-05,11474.22,Auditors of Public Accounts
149,2024-06,16726.57,Auditors of Public Accounts
150,2024-07,21620.07,Auditors of Public Accounts
151,2024-08,19735.04,Auditors of Public Accounts
152,2024-09,15129.6,Auditors of Public Accounts
153,2024-10,38991.41,Auditors of Public Accounts
154,2024-11,49071.1,Auditors of Public Accounts
155,2024-12,61991.9,Auditors of Public Accounts
156,2025-01,4558.97,Auditors of Public Accounts
157,2025-02,17437.75,Auditors of Public Accounts
158,2025-03,17488.39,Auditors of Public Accounts
159,2025-04,9650.12,Auditors of Public Accounts
160,2025-05,16918.64,Auditors of Public Accounts
161,2025-06,12583.01,Auditors of Public Accounts
162,2025-07,30315.23,Auditors of Public Accounts
163,2025-08,20855.92,Auditors of Public Accounts
164,2025-09,8369.14,Auditors of Public Accounts
165,2025-10,34419.66,Auditors of Public Accounts
166,2025-11,36241.49,Auditors of Public Accounts
167,2025-12,64571.54,Auditors of Public Accounts
0,2012-01,737.73,Comm. Women Children & Seniors
1,2012-02,678.03,Comm. Women Children & Seniors
2,2012-03,2537.84,Comm. Women Children & Seniors
3,2012-04,1636.13,Comm. Women Children & Seniors
4,2012-05,1492.93,Comm. Women Children & Seniors
5,2012-06,1998.92,Comm. Women Children & Seniors
6,2012-07,2651.98,Comm. Women Children & Seniors
7,2012-08,3558.73,Comm. Women Children & Seniors
8,2012-09,3483.0899999999997,Comm. Women Children & Seniors
9,2012-10,2556.67,Comm. Women Children & Seniors
10,2012-11,28685.02,Comm. Women Children & Seniors
11,2012-12,10552.26,Comm. Women Children & Seniors
12,2013-01,843.94,Comm. Women Children & Seniors
13,2013-02,624.18,Comm. Women Children & Seniors
14,2013-03,3650.93,Comm. Women Children & Seniors
15,2013-04,8237.1,Comm. Women Children & Seniors
16,2013-05,1192.9,Comm. Women Children & Seniors
17,2013-06,4493.82,Comm. Women Children & Seniors
18,2013-07,452.48,Comm. Women Children & Seniors
19,2013-08,4534.62,Comm. Women Children & Seniors
20,2013-09,3794.87,Comm. Women Children & Seniors
21,2013-10,2160.79,Comm. Women Children & Seniors
22,2013-11,9544.33,Comm. Women Children & Seniors
23,2013-12,11431.89,Comm. Women Children & Seniors
24,2014-01,734.57,Comm. Women Children & Seniors
25,2014-02,1136.19,Comm. Women Children & Seniors
26,2014-03,2069.84,Comm. Women Children & Seniors
27,2014-04,2074.7599999999998,Comm. Women Children & Seniors
28,2014-05,7382.2699999999995,Comm. Women Children & Seniors
29,2014-06,1301.99,Comm. Women Children & Seniors
30,2014-07,374.65999999999997,Comm. Women Children & Seniors
31,2014-08,4280.81,Comm. Women Children & Seniors
32,2014-09,3700.79,Comm. Women Children & Seniors
33,2014-10,647.48,Comm. Women Children & Seniors
34,2014-11,4811.18,Comm. Women Children & Seniors
35,2014-12,22506.18,Comm. Women Children & Seniors
36,2015-01,200145.78,Comm. Women Children & Seniors
37,2015-02,447.52,Comm. Women Children & Seniors
38,2015-03,185.51,Comm. Women Children & Seniors
39,2015-04,840.42,Comm. Women Children & Seniors
40,2015-05,5706.1,Comm. Women Children & Seniors
41,2015-06,869.0500000000001,Comm. Women Children & Seniors
42,2015-07,670.42,Comm. Women Children & Seniors
43,2015-08,444.91,Comm. Women Children & Seniors
44,2015-09,1158.3200000000002,Comm. Women Children & Seniors
45,2015-10,32715.97,Comm. Women Children & Seniors
46,2015-11,1243.29,Comm. Women Children & Seniors
47,2015-12,35264.7,Comm. Women Children & Seniors
48,2016-01,761.3000000000001,Comm. Women Children & Seniors
49,2016-02,761.02,Comm. Women Children & Seniors
50,2016-03,257.38,Comm. Women Children & Seniors
51,2016-04,1197.11,Comm. Women Children & Seniors
52,2016-05,490.33000000000004,Comm. Women Children & Seniors
53,2016-06,879.65,Comm. Women Children & Seniors
54,2016-07,766.66,Comm. Women Children & Seniors
55,2016-08,2267.51,Comm. Women Children & Seniors
56,2016-09,3142.0299999999997,Comm. Women Children & Seniors
57,2016-10,3983.89,Comm. Women Children & Seniors
58,2016-11,5376.3,Comm. Women Children & Seniors
59,2016-12,12932.11,Comm. Women Children & Seniors
60,2017-01,3156.04,Comm. Women Children & Seniors
61,2017-02,584.0000000000001,Comm. Women Children & Seniors
62,2017-03,647.73,Comm. Women Children & Seniors
63,2017-04,148.03,Comm. Women Children & Seniors
64,2017-05,822.86,Comm. Women Children & Seniors
65,2017-06,626.04,Comm. Women Children & Seniors
66,2017-07,1126.85,Comm. Women Children & Seniors
67,2017-08,915.4,Comm. Women Children & Seniors
68,2017-09,3160.51,Comm. Women Children & Seniors
69,2017-10,9931.06,Comm. Women Children & Seniors
70,2017-11,1695.54,Comm. Women Children & Seniors
71,2017-12,6345.26,Comm. Women Children & Seniors
72,2018-01,174.0,Comm. Women Children & Seniors
73,2018-02,545.0500000000001,Comm. Women Children & Seniors
74,2018-03,478.92999999999995,Comm. Women Children & Seniors
75,2018-04,343.97,Comm. Women Children & Seniors
76,2018-05,82.64,Comm. Women Children & Seniors
77,2018-06,1174.33,Comm. Women Children & Seniors
